"","X","accessRights","adm1","adm2","associatedOccurrences","associatedReferences","associatedSequences","basisOfRecord","behavior","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinateUncertaintyInMeters","country","created","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","dynamicProperties","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventRemarks","eventTime","family","familyKey","fieldNotes","fieldNumber","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","higherClassification","higherGeography","http...unknown.org.occurrenceDetails","http...unknown.org.organismID","identificationID","identificationQualifier","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","infraspecificEpithet","institutionCode","institutionID","island","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","license","lifeStage","locality","locationAccordingTo","locationRemarks","lon","modified","month","municipality","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","otherCatalogNumbers","ownerInstitutionCode","parentNameUsage","phylum","phylumKey","preparations","previousIdentifications","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","reproductiveCondition","rights","rightsHolder","samplingProtocol","scientificName","scientificNameID","sex","source","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonRank","taxonRemarks","type","typeStatus","typifiedName","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLocality","verbatimTaxonRank","vernacularName","waterBody","year","downloadDate","id_no","binomial","presence","origin","seasonal","compiler","year.1","citation","source.1","dist_comm","island.1","kingdom.1","phylum.1","class.1","order_","family.1","rlcategory","shape_Leng","shape_Area","optional"
"5910",5915,"http://vertnet.org/resources/norms.html","Alaska",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"Mammal-24907","Mammalia",359,"Glenn Highway, mile 145, Alaska, United States, NORTH_AMERICA","Mammal",NA,"NORTH_AMERICA",16090,"United States",NA,NA,"8eddc200-f535-4c65-9b4d-f723eafe607e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NATIVE","1957-01-01T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,"United States",812661394,"Lynx","Lynx",2435239,"WGS84","Brandy K. Jacobsen (UAM)","1/21/2003",NA,NA,"All Topo Maps Alaska","requires verification","Mammalia | Carnivora | Felidae | Lynx","| USA | Alaska |  |  |  |  |",NA,NA,NA,NA,NA,NA,NA,"urn:catalog:PSM:Mammal:Mammal-24907",NA,NA,NA,"PSM","urn:lsid:biocol.org:col:34825",NA,"US",812661394,"Animalia",1,"en","2016-05-26T20:48:57.561+0000","2016-08-04T09:30:18.584+0000","2016-05-26T20:48:57.568+0000",61.9878880648319,NA,NA,"Glenn Highway, mile 145",NA,NA,-146.949641757794,"2016-05-26T00:00:00.000+0000",1,NA,"ICZN","urn:catalog:PSM:Mammal:Mammal-24907",NA,"present","Carnivora",732,NA,"17499",NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","f56c5f80-055c-11d8-b84e-b8a03c50a862","R. Rausch",NA,"http://portal.vertnet.org/o/psm/mammal?id=mammal-24907",NA,"https://creativecommons.org/publicdomain/zero/1.0/",NA,NA,"Lynx canadensis Kerr, 1792",NA,"MALE",NA,"Lynx canadensis",2435263,"canadensis",NA,NA,2435263,"SPECIES",NA,"PhysicalObject",NA,NA,"degrees minutes seconds",NA,NA,"USA | Alaska | Glenn Highway, mile 145",NA,NA,NA,1957,"2016-08-10",12518,"Lynx canadensis",1,1,1,"Maine Department of Inland Fisheries and Wildlife",2016,"Maine Department of Inland Fisheries and Wildlife","Alaska Department of Fish and Game",NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",269.991269892,263.88528581,TRUE
"5915",5920,"http://vertnet.org/resources/norms.html","Alaska",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"Mammal-17948","Mammalia",359,"Savioyuk Creek, Brooks Range, Alaska, United States, NORTH_AMERICA","Mammal",NA,"NORTH_AMERICA",6018,"United States",NA,NA,"8eddc200-f535-4c65-9b4d-f723eafe607e",NA,NA,26,NA,NA,NA,NA,NA,NA,26,"NATIVE","1957-01-26T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,"United States",812654487,"Lynx","Lynx",2435239,"WGS84","Yumiko Uchiro (UAM)","3/21/2002",NA,NA,"All Topo Maps Alaska","requires verification","Mammalia | Carnivora | Felidae | Lynx","| USA | Alaska |  |  |  |  |",NA,NA,NA,NA,NA,NA,NA,"urn:catalog:PSM:Mammal:Mammal-17948",NA,NA,NA,"PSM","urn:lsid:biocol.org:col:34825",NA,"US",812654487,"Animalia",1,"en","2016-05-26T20:48:54.100+0000","2016-08-04T09:30:19.284+0000","2016-05-26T20:48:54.134+0000",67.9716265622136,NA,NA,"Savioyuk Creek, Brooks Range",NA,NA,-151.670026112329,"2016-05-26T00:00:00.000+0000",1,NA,"ICZN","urn:catalog:PSM:Mammal:Mammal-17948",NA,"present","Carnivora",732,NA,"18687",NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","f56c5f80-055c-11d8-b84e-b8a03c50a862","R. Rausch",NA,"http://portal.vertnet.org/o/psm/mammal?id=mammal-17948",NA,"https://creativecommons.org/publicdomain/zero/1.0/",NA,NA,"Lynx canadensis Kerr, 1792",NA,"MALE",NA,"Lynx canadensis",2435263,"canadensis",26,NA,2435263,"SPECIES",NA,"PhysicalObject",NA,NA,"degrees minutes seconds",NA,NA,"USA | Alaska | Savioyuk Creek, Brooks Range",NA,NA,NA,1957,"2016-08-10",12518,"Lynx canadensis",1,1,1,"Maine Department of Inland Fisheries and Wildlife",2016,"Maine Department of Inland Fisheries and Wildlife","Alaska Department of Fish and Game",NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",269.991269892,263.88528581,TRUE
"5938",5943,"not-for-profit use only","Newfoundland and Labrador",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"27915","Mammalia",359,"Near Doyles, Codroy Valley, Saint Georges, Newfoundland and Labrador, Canada, NORTH_AMERICA","Mammals","urn:lsid:biocol.org:col:34909","NORTH_AMERICA",NA,"Canada",NA,NA,"c5c4a23e-2035-4416-ab64-032d6df52ddb","Mammalogy",NA,18,NA,NA,NA,NA,NA,NA,NA,NA,"1957-03-18T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,"Canada",1211853823,"Lynx","Lynx",2435239,"WGS84","Unknown (ROM)","Not recorded.","MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices",NA,"Most likely from the gazetteer in, The Times Atlas of the World, Comprehensive Edition. 1975. John Bartholomew and Son Limited. Edinburgh, Great Britain. xl + 123 plates + 223 pp.",NA,"Animalia; Chordata; Mammalia; Carnivora; Felidae; Lynx","North America; Canada; Newfoundland and Labrador",NA,NA,NA,NA,NA,NA,NA,"URI:catalog:ROM:Mammals:27915",NA,NA,NA,"ROM",NA,NA,"CA",1211853823,"Animalia",1,"en","2016-05-26T13:57:50.863+0000","2016-08-04T13:23:35.591+0000","2016-05-26T13:57:58.900+0000",47.83333,"https://creativecommons.org/licenses/by-nc/4.0/","ADULT","Near Doyles, Codroy Valley, Saint Georges",NA,"ROM data parsed by Susan M. Woodward, 20060919.",-59.18333,"2016-05-19T00:00:00.000+0000",3,NA,NA,"URI:catalog:ROM:Mammals:27915",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"skull",NA,"DWC_ARCHIVE","CA","ff418020-1d67-11d9-8435-b8a03c50a862","Wall, D","WALL 2",NA,NA,NA,"Royal Ontario Museum; ROM",NA,"Lynx canadensis Kerr, 1792",NA,"FEMALE",NA,"Lynx canadensis",2435263,"canadensis",NA,NA,2435263,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"19570318","Near Doyles, Codroy Valley, Saint Georges",NA,NA,NA,1957,"2016-08-10",12518,"Lynx canadensis",1,1,1,"Maine Department of Inland Fisheries and Wildlife",2016,"Maine Department of Inland Fisheries and Wildlife","IUCN",NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",518.167351419,774.683890611,TRUE
"5948",5953,"http://www.vertnet.org/resources/norms.html","Alaska",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"3518","Mammalia",359,"Paxson Lake, Alaska, United States, NORTH_AMERICA","Mammal specimens","urn:lsid:biocol.org:col:34889","NORTH_AMERICA",3615,"United States",NA,NA,"377be098-626f-4cc2-b4b5-35700050669a",NA,"2000-09-12T00:00:00.000+0000",15,NA,NA,NA,"sex: unknown",NA,NA,135,NA,"1957-05-15T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,"United States",897042185,"Lynx","Lynx",2435239,"WGS84","unknown","2000-09-09 00:00:00.0","not recorded",NA,"unknown","unverified","Animalia Chordata Mammalia Carnivora Felidae  Kerr, 1792","North America, United States, Alaska, Mt. Hayes Quad",NA,NA,NA,"A",NA,"legacy","unknown","http://arctos.database.museum/guid/UAM:Mamm:3518?seid=794318",1,NA,NA,"UAM","urn:lsid:biocol.org:col:34847",NA,"US",897042185,"Animalia",1,"en","2016-08-09T08:06:03.374+0000","2016-08-09T08:07:10.960+0000","2016-08-09T08:06:03.678+0000",63,NA,NA,"Paxson Lake","unknown",NA,-145.5,NA,5,NA,"ICZN","http://arctos.database.museum/guid/UAM:Mamm:3518?seid=794318",NA,NA,"Carnivora",732,"http://arctos.database.museum/guid/UAM:Mamm:3518","original identifier=AAL VII",NA,NA,"Chordata",44,"skull",NA,"DWC_ARCHIVE","US","d9699a79-4736-45c2-925c-f4033ac67d52","Collector(s): unknown",NA,"http://arctos.database.museum/guid/UAM:Mamm:3518",NA,NA,NA,NA,"Lynx canadensis Kerr, 1792",NA,NA,NA,"Lynx canadensis",2435263,"canadensis",NA,NA,2435263,"SPECIES",NA,"PhysicalObject",NA,NA,"deg. min. sec.",NA,"15 May 1957","Paxson Lake",NA,NA,NA,1957,"2016-08-10",12518,"Lynx canadensis",1,1,1,"Maine Department of Inland Fisheries and Wildlife",2016,"Maine Department of Inland Fisheries and Wildlife","Alaska Department of Fish and Game",NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",269.991269892,263.88528581,TRUE
"5959",5964,"http://vertnet.org/resources/norms.html","Alaska",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"Mammal-17949","Mammalia",359,"Chickaloon, 10 mi, Alaska, United States, NORTH_AMERICA","Mammal",NA,"NORTH_AMERICA",18569,"United States",NA,NA,"8eddc200-f535-4c65-9b4d-f723eafe607e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NATIVE","1957-12-01T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,"United States",812654488,"Lynx","Lynx",2435239,"WGS84","Yumiko Uchiro (UAM)","5/15/2002",NA,NA,"All Topo Maps Alaska","requires verification","Mammalia | Carnivora | Felidae | Lynx","| USA | Alaska |  |  |  |  |",NA,NA,NA,NA,NA,NA,NA,"urn:catalog:PSM:Mammal:Mammal-17949",NA,NA,NA,"PSM","urn:lsid:biocol.org:col:34825",NA,"US",812654488,"Animalia",1,"en","2016-05-26T20:48:54.101+0000","2016-08-04T09:30:20.043+0000","2016-05-26T20:48:54.128+0000",61.7961692862504,NA,NA,"Chickaloon, 10 mi",NA,NA,-148.464939302782,"2016-05-26T00:00:00.000+0000",12,NA,"ICZN","urn:catalog:PSM:Mammal:Mammal-17949",NA,"present","Carnivora",732,NA,"20365",NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","f56c5f80-055c-11d8-b84e-b8a03c50a862","R. Rausch",NA,"http://portal.vertnet.org/o/psm/mammal?id=mammal-17949",NA,"https://creativecommons.org/publicdomain/zero/1.0/",NA,NA,"Lynx canadensis Kerr, 1792",NA,"FEMALE",NA,"Lynx canadensis",2435263,"canadensis",NA,NA,2435263,"SPECIES",NA,"PhysicalObject",NA,NA,"degrees minutes seconds",NA,NA,"USA | Alaska | Chickaloon, 10 mi",NA,NA,NA,1957,"2016-08-10",12518,"Lynx canadensis",1,1,1,"Maine Department of Inland Fisheries and Wildlife",2016,"Maine Department of Inland Fisheries and Wildlife","Alaska Department of Fish and Game",NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",269.991269892,263.88528581,TRUE
"6017",6022,"not-for-profit use only","Newfoundland and Labrador",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"27897","Mammalia",359,"Newfoundland and Labrador, Canada, NORTH_AMERICA","Mammals","urn:lsid:biocol.org:col:34909","NORTH_AMERICA",NA,"Canada",NA,NA,"c5c4a23e-2035-4416-ab64-032d6df52ddb","Mammalogy",NA,23,NA,NA,NA,NA,NA,NA,NA,NA,"1956-04-23T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,"Canada",891414586,"Lynx","Lynx",2435239,"WGS84","Unknown (ROM)","Not recorded.","MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices",NA,"Most likely from the gazetteer in, The Times Atlas of the World, Comprehensive Edition. 1975. John Bartholomew and Son Limited. Edinburgh, Great Britain. xl + 123 plates + 223 pp.",NA,"Animalia; Chordata; Mammalia; Carnivora; Felidae; Lynx","North America; Canada; Newfoundland and Labrador",NA,NA,NA,NA,NA,NA,NA,"URI:catalog:ROM:Mammals:27897",NA,NA,NA,"Royal Ontario Museum: ROM",NA,NA,"CA",891414586,"Animalia",1,"en","2015-01-22T18:31:59.922+0000","2016-08-04T13:23:37.292+0000","2015-01-22T18:32:00.515+0000",49.35,NA,"ADULT",NA,NA,"ROM data parsed by Susan M. Woodward, 20060919.",-57.23333,"2014-11-19T00:00:00.000+0000",4,NA,NA,NA,NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"skin; skull; tanned",NA,"DWC_ARCHIVE","CA","ff418020-1d67-11d9-8435-b8a03c50a862","Tilley, B","TILLEY 9",NA,NA,"https://creativecommons.org/licenses/by-nc/4.0/","Royal Ontario Museum; ROM",NA,"Lynx canadensis Kerr, 1792",NA,NA,NA,"Lynx canadensis",2435263,"canadensis",NA,NA,2435263,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"19560423",NA,NA,NA,NA,1956,"2016-08-10",12518,"Lynx canadensis",1,1,1,"Maine Department of Inland Fisheries and Wildlife",2016,"Maine Department of Inland Fisheries and Wildlife","IUCN",NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",518.167351419,774.683890611,TRUE
"6019",6024,"not-for-profit use only","Newfoundland and Labrador",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"27896","Mammalia",359,"Little Falls Brook, Newfoundland and Labrador, Canada, NORTH_AMERICA","Mammals","urn:lsid:biocol.org:col:34909","NORTH_AMERICA",NA,"Canada",NA,NA,"c5c4a23e-2035-4416-ab64-032d6df52ddb","Mammalogy",NA,23,NA,NA,NA,NA,NA,NA,NA,NA,"1956-04-23T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,"Canada",1211857871,"Lynx","Lynx",2435239,"WGS84","Unknown (ROM)","Not recorded.","MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices",NA,"Most likely from the gazetteer in, The Times Atlas of the World, Comprehensive Edition. 1975. John Bartholomew and Son Limited. Edinburgh, Great Britain. xl + 123 plates + 223 pp.",NA,"Animalia; Chordata; Mammalia; Carnivora; Felidae; Lynx","North America; Canada; Newfoundland and Labrador",NA,NA,NA,NA,NA,NA,NA,"URI:catalog:ROM:Mammals:27896",NA,NA,NA,"ROM",NA,NA,"CA",1211857871,"Animalia",1,"en","2016-05-26T13:57:54.909+0000","2016-08-04T13:23:36.637+0000","2016-05-26T13:58:02.934+0000",48.9,"https://creativecommons.org/licenses/by-nc/4.0/","ADULT","Little Falls Brook",NA,"ROM data parsed by Susan M. Woodward, 20060919.",-58.03333,"2016-05-19T00:00:00.000+0000",4,NA,NA,"URI:catalog:ROM:Mammals:27896",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"skin; skull; tanned",NA,"DWC_ARCHIVE","CA","ff418020-1d67-11d9-8435-b8a03c50a862","Tilley, B","TILLEY 8",NA,NA,NA,"Royal Ontario Museum; ROM",NA,"Lynx canadensis Kerr, 1792",NA,"MALE",NA,"Lynx canadensis",2435263,"canadensis",NA,NA,2435263,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"19560423","Little Falls Brook",NA,NA,NA,1956,"2016-08-10",12518,"Lynx canadensis",1,1,1,"Maine Department of Inland Fisheries and Wildlife",2016,"Maine Department of Inland Fisheries and Wildlife","IUCN",NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",518.167351419,774.683890611,TRUE
"6052",6057,"not-for-profit use only","Newfoundland and Labrador",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"27917","Mammalia",359,"Newfoundland and Labrador, Canada, NORTH_AMERICA","Mammals","urn:lsid:biocol.org:col:34909","NORTH_AMERICA",NA,"Canada",NA,NA,"c5c4a23e-2035-4416-ab64-032d6df52ddb","Mammalogy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1956-10-01T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,"Canada",891414597,"Lynx","Lynx",2435239,"WGS84","Unknown (ROM)","Not recorded.","MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices",NA,"Most likely from the gazetteer in, The Times Atlas of the World, Comprehensive Edition. 1975. John Bartholomew and Son Limited. Edinburgh, Great Britain. xl + 123 plates + 223 pp.",NA,"Animalia; Chordata; Mammalia; Carnivora; Felidae; Lynx","North America; Canada; Newfoundland and Labrador",NA,NA,NA,NA,NA,NA,NA,"URI:catalog:ROM:Mammals:27917",NA,NA,NA,"Royal Ontario Museum: ROM",NA,NA,"CA",891414597,"Animalia",1,"en","2015-01-22T18:31:54.066+0000","2016-08-04T13:23:34.922+0000","2015-01-22T18:31:54.136+0000",46.65,NA,"ADULT",NA,NA,"ROM data parsed by Susan M. Woodward, 20060919.",-53.6,"2014-11-19T00:00:00.000+0000",10,NA,NA,NA,NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"skull",NA,"DWC_ARCHIVE","CA","ff418020-1d67-11d9-8435-b8a03c50a862","Pimlott, PH","1",NA,NA,"https://creativecommons.org/licenses/by-nc/4.0/","Royal Ontario Museum; ROM",NA,"Lynx canadensis Kerr, 1792",NA,NA,NA,"Lynx canadensis",2435263,"canadensis",NA,NA,2435263,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"19561000",NA,NA,NA,NA,1956,"2016-08-10",12518,"Lynx canadensis",1,1,1,"Maine Department of Inland Fisheries and Wildlife",2016,"Maine Department of Inland Fisheries and Wildlife","IUCN",NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",518.167351419,774.683890611,TRUE
"6056",6061,"not-for-profit use only","Newfoundland and Labrador",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"27916","Mammalia",359,"Newfoundland and Labrador, Canada, NORTH_AMERICA","Mammals","urn:lsid:biocol.org:col:34909","NORTH_AMERICA",NA,"Canada",NA,NA,"c5c4a23e-2035-4416-ab64-032d6df52ddb","Mammalogy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1956-10-01T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,"Canada",891414585,"Lynx","Lynx",2435239,"WGS84","Unknown (ROM)","Not recorded.","MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices",NA,"Most likely from the gazetteer in, The Times Atlas of the World, Comprehensive Edition. 1975. John Bartholomew and Son Limited. Edinburgh, Great Britain. xl + 123 plates + 223 pp.",NA,"Animalia; Chordata; Mammalia; Carnivora; Felidae; Lynx","North America; Canada; Newfoundland and Labrador",NA,NA,NA,NA,NA,NA,NA,"URI:catalog:ROM:Mammals:27916",NA,NA,NA,"Royal Ontario Museum: ROM",NA,NA,"CA",891414585,"Animalia",1,"en","2015-01-22T18:31:59.137+0000","2016-08-04T13:23:36.838+0000","2015-01-22T18:31:59.793+0000",49,NA,"ADULT",NA,NA,"ROM data parsed by Susan M. Woodward, 20060919.",-56.06667,"2014-11-19T00:00:00.000+0000",10,NA,NA,NA,NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"skull",NA,"DWC_ARCHIVE","CA","ff418020-1d67-11d9-8435-b8a03c50a862","Pimlott, PH",NA,NA,NA,"https://creativecommons.org/licenses/by-nc/4.0/","Royal Ontario Museum; ROM",NA,"Lynx canadensis Kerr, 1792",NA,NA,NA,"Lynx canadensis",2435263,"canadensis",NA,NA,2435263,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"19561000",NA,NA,NA,NA,1956,"2016-08-10",12518,"Lynx canadensis",1,1,1,"Maine Department of Inland Fisheries and Wildlife",2016,"Maine Department of Inland Fisheries and Wildlife","IUCN",NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",518.167351419,774.683890611,TRUE
"6068",6073,"Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj","Manitoba",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"Lynx canadensis (YPM MAM 001934)","YPM MAM 001934","Mammalia",359,"Manitoba, Canada, NORTH_AMERICA","VZ",NA,"NORTH_AMERICA",NA,"Canada",NA,NA,"854f602e-f762-11e1-a439-00145eb45e9a",NA,NA,NA,NA,NA,NA,"{ ""solr_long_lat"": ""-99.7833,54.7833"" }",NA,NA,NA,NA,"1955-01-01T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,"101","Canada",1039515508,"Lynx","Lynx",2435239,"WGS84",NA,NA,NA,NA,NA,NA,"Animalia; Chordata; Vertebrata; Amniota; Mammalia; Theriiformes-----Theria-Placentalia-Epitheria; Preptotheria-Ferae; Carnivora; Feliformia; Felidae; Felinae","North America; Canada; Manitoba; Herb Lake",NA,NA,NA,NA,NA,NA,NA,"urn:uuid:068119a7-f610-40b2-a8d7-c81aa931568a",1,NA,NA,"YPM",NA,NA,"CA",1039515508,"Animalia",1,"eng","2016-08-09T20:30:47.235+0000","2016-08-04T07:52:43.825+0000","2016-06-28T20:16:03.103+0000",54.7833,"http://creativecommons.org/publicdomain/zero/1.0/",NA,NA,NA,NA,-99.7833,NA,1,"Herb Lake","ICZN","urn:uuid:068119a7-f610-40b2-a8d7-c81aa931568a","number 1934; lot count 1",NA,"Carnivora",732,NA,NA,"YPM",NA,"Chordata",44,"skeleton (skull only)","Lynx canadensis","DWC_ARCHIVE","US","2e167bb0-4441-11db-9ba2-b8a03c50a862",NA,NA,"http://collections.peabody.yale.edu/search/Record/YPM-MAM-001934",NA,NA,"Yale Peabody Museum of Natural History",NA,"Lynx canadensis Kerr, 1792",NA,"FEMALE",NA,"Lynx canadensis",2435263,"canadensis",NA,NA,2435263,"SPECIES","Animals and Plants: Vertebrates - Mammals","PhysicalObject",NA,NA,NA,NA,NA,NA,NA,"Lynx; cats; cat-like carnivores; carnivores; mammals; vertebrates; chordates; animals",NA,1955,"2016-08-10",12518,"Lynx canadensis",1,1,1,"Maine Department of Inland Fisheries and Wildlife",2016,"Maine Department of Inland Fisheries and Wildlife","IUCN",NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",518.167351419,774.683890611,TRUE
"6072",6077,"http://vertnet.org/resources/norms.html","British Columbia","Kootenay Boundary",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"M006621","Mammalia",359,"Nelson, British Columbia, Kootenay Boundary, Canada, NORTH_AMERICA","CTC",NA,"NORTH_AMERICA",NA,"Canada",NA,NA,"3ad882bb-cd21-4201-8b83-3684bfc6d830","Cowan Tetrapod Collection - Mammal",NA,1,NA,NA,"in collection","{ ""massInGrams""=""4422"", ""tailLengthInMillimeters""=""110"", ""footLengthInMillimeters""=""265"", ""headBodyLengthInMillimeters""=""850"" }",NA,NA,32,"NATIVE","1955-02-01T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,"Canada",786009660,"Lynx","Lynx",2435239,"WGS84",NA,NA,NA,NA,NA,"requires verification","Animalia | Chordata | Mammalia | Carnivora | Felidae | Lynx","North America | Canada | BC | Kootenay |  |  |  |",NA,NA,NA,NA,NA,NA,NA,"urn:catalog:UBCBBM:CTC:M006621",1,NA,NA,"UBCBBM",NA,NA,"CA",786009660,"Animalia",1,"en","2015-04-07T23:36:57.603+0000","2016-08-03T15:27:13.694+0000","2015-04-07T23:36:57.632+0000",49.49282,NA,NA,"Nelson",NA,NA,-117.29483,"2015-04-06T00:00:00.000+0000",2,NA,"ICZN","urn:catalog:UBCBBM:CTC:M006621","hole between eyes","present","Carnivora",732,NA,NA,NA,NA,"Chordata",44,"skin; skull",NA,"DWC_ARCHIVE","CA","b542788f-0dc2-4a2b-b652-fceced449591","I.McT. Cowan","3963","http://portal.vertnet.org/o/ubcbbm/ctc?id=m006621",NA,NA,NA,NA,"Lynx canadensis Kerr, 1792",NA,"MALE",NA,"Lynx canadensis",2435263,"canadensis",32,NA,2435263,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"01 February 1955","North America | Canada | BC | Kootenay | Nelson",NA,"Canada Lynx",NA,1955,"2016-08-10",12518,"Lynx canadensis",1,1,1,"Maine Department of Inland Fisheries and Wildlife",2016,"Maine Department of Inland Fisheries and Wildlife","IUCN",NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",518.167351419,774.683890611,TRUE
